player_name,total_value,years,annualized_value,source_name,source_url,verified
Jeremiah Smith,4200000,1,4200000,Market Consensus,,no
Ryan Coleman-Williams,1650000,1,1650000,Market Consensus,,no
Evan Stewart,1540000,1,1540000,Market Consensus,,no
Colin Simmons,1550000,1,1550000,Market Consensus,,no
David Stone,1910000,1,1910000,Market Consensus,,no
Jackson Cantwell,2000000,1,2000000,Market Consensus,,no
Dia Bell,1300000,1,1300000,Market Consensus,,no
Tyler Atkinson,800000,1,800000,Market Consensus,,no
Keelon Russell,1400000,1,1400000,Market Consensus,,no
Mark Bowman,1300000,1,1300000,Market Consensus,,no
Malachi Toney,1300000,1,1300000,Market Consensus,,no
Bear Alexander,1200000,1,1200000,Market Consensus,,no
Jared Curtis,1700000,1,1700000,Market Consensus,,no
Cam Coleman,2900000,1,2900000,Market Consensus,,no
Darian Mensah,2200000,1,2200000,Market Consensus,,no
Princewill Umanmielen,1400000,1,1400000,Market Consensus,,no
Dylan Raiola,1300000,1,1300000,Market Consensus,,no
Chaz Coleman,1300000,1,1300000,Market Consensus,,no
