espn_athlete_id,player_name,star_rating,composite_score,position_247,committed_school_slug,hs_grad_year
hs2027_cj_rosser,CJ Rosser,5,0.9995,PF,,2027
hs2027_obinna_ekezie_jr,Obinna Ekezie Jr.,5,0.9988,C,,2027
hs2027_ryan_hampton,Ryan Hampton,5,0.9987,SF,,2027
hs2027_marcus_spears_jr,Marcus Spears Jr.,5,0.9987,PF,,2027
hs2027_paul_osaruyi,Paul Osaruyi,5,0.9979,C,,2027
hs2027_moussa_kamissoko,Moussa Kamissoko,5,0.9975,SF,,2027
hs2027_nasir_anderson,Nasir Anderson,5,0.997,PG,,2027
hs2027_beckham_black,Beckham Black,5,0.9969,PG,,2027
hs2027_jordan_page,Jordan Page,5,0.9969,SG,,2027
hs2027_king_gibson,King Gibson,5,0.9961,SG,,2027
hs2027_dawson_battie,Dawson Battie,5,0.9954,PF,,2027
hs2027_malachi_jordan,Malachi Jordan,5,0.9951,SF,,2027
hs2027_isaiah_hill,Isaiah Hill,5,0.9939,C,,2027
hs2027_reese_alston,Reese Alston,5,0.9938,PG,,2027
hs2027_demarcus_henry,Demarcus Henry,5,0.9937,SF,,2027
hs2027_cayden_daughtry,Cayden Daughtry,5,0.993,PG,,2027
hs2027_gabe_nesmith,Gabe Nesmith,5,0.993,SF,,2027
hs2027_darius_wabbington,Darius Wabbington,5,0.9927,C,,2027
hs2027_jalen_davis,Jalen Davis,5,0.9922,SG,,2027
hs2027_josh_leonard,Josh Leonard,5,0.9922,SF,,2027
hs2027_javon_bardwell,Javon Bardwell,5,0.9915,SF,kansas,2027
hs2027_zion_green,Zion Green,5,0.9911,PF,,2027
hs2027_navorro_bowman_jr,NaVorro Bowman Jr.,5,0.9907,SG,,2027
hs2027_davion_thompson,Davion Thompson,5,0.9907,PG,,2027
hs2027_jeremy_jenkins,Jeremy Jenkins,5,0.9905,PF,,2027
hs2027_dooney_johnson,Dooney Johnson,5,0.9902,SF,,2027
hs2027_anderson_diaz,Anderson Diaz,4,0.9889,PG,,2027
hs2027_rj_moore,RJ Moore,4,0.9888,SG,,2027
hs2027_ahmad_hudson,Ahmad Hudson,4,0.9888,PF,,2027
hs2027_devin_cleveland,Devin Cleveland,4,0.9886,PG,,2027
hs2027_donovan_davis,Donovan Davis,4,0.9884,PF,,2027
hs2027_tyran_frazier,Tyran Frazier,4,0.9882,C,,2027
hs2027_lj_smith,LJ Smith,4,0.9879,SG,,2027
hs2027_jason_gardner_jr,Jason Gardner Jr.,4,0.9873,SG,,2027
hs2027_jarvis_hayes_jr,Jarvis Hayes Jr.,4,0.9872,SG,,2027
hs2027_gene_roebuck,Gene Roebuck,4,0.9865,SF,,2027
hs2027_munir_greig,Munir Greig,4,0.9862,SF,,2027
hs2027_chase_branham,Chase Branham,4,0.9862,PG,,2027
hs2027_scottie_adkinson,Scottie Adkinson,4,0.986,SG,,2027
hs2027_jaylan_mitchell,Jaylan Mitchell,4,0.9859,PF,,2027
hs2027_micah_gordon,Micah Gordon,4,0.985,PG,,2027
hs2027_theo_edema,Theo Edema,4,0.9843,C,,2027
hs2027_tyrone_jamison,Tyrone Jamison,4,0.9842,PG,,2027
hs2027_henry_robinson,Henry Robinson,4,0.9839,SF,,2027
hs2027_oneal_delancy,Oneal Delancy,4,0.9839,SG,,2027
hs2027_cherif_millogo,Cherif Millogo,4,0.9837,C,,2027
hs2027_ahmed_nur,Ahmed Nur,4,0.9837,PF,,2027
hs2027_howard_williams,Howard Williams,4,0.9835,SF,,2027
hs2027_kevin_savage,Kevin Savage,4,0.9829,PG,,2027
hs2027_josiah_harrington,Josiah Harrington,4,0.9829,SF,,2027
hs2027_jaxson_davis,Jaxson Davis,4,0.9825,PG,,2027
hs2027_carson_crawford,Carson Crawford,4,0.9821,SF,,2027
hs2027_brandon_woodard,Brandon Woodard,4,0.9817,PF,,2027
hs2027_antonio_pemberton,Antonio Pemberton,4,0.9807,PG,,2027
hs2027_dylan_jones,Dylan Jones,4,0.98,SF,,2027
hs2027_chase_lumpkin,Chase Lumpkin,4,0.9797,SG,,2027
hs2027_mahamadou_diop,Mahamadou Diop,4,0.9797,C,,2027
hs2027_jomar_bernard,Jomar Bernard,4,0.9796,SF,,2027
hs2027_j_lon_lyons,J'Lon Lyons,4,0.9795,PG,,2027
hs2027_patrick_otey,Patrick Otey,4,0.9794,SG,,2027
hs2027_baboucarr_ann,Baboucarr Ann,4,0.9782,SF,,2027
hs2027_jack_kohnen,Jack Kohnen,4,0.9782,SF,,2027
hs2027_jahari_miller,Jahari Miller,4,0.9765,SG,,2027
hs2027_asa_montgomery,Asa Montgomery,4,0.9756,SF,,2027
hs2027_mekhi_robertson,Mekhi Robertson,4,0.9743,SG,,2027
hs2027_aaron_britt_jr,Aaron Britt Jr.,4,0.9735,PG,,2027
hs2027_nicolas_mitrovic,Nicolas Mitrovic,4,0.9735,C,,2027
hs2027_clyde_walters,Clyde Walters,4,0.9724,SF,,2027
hs2027_kamsi_awaka,Kamsi Awaka,4,0.9722,C,,2027
hs2027_darrell_davis,Darrell Davis,4,0.9721,PG,,2027
hs2027_jalen_brown,Jalen Brown,4,0.9721,SG,,2027
hs2027_chase_richardson,Chase Richardson,4,0.9721,PG,,2027
hs2027_jeremiah_profit,Jeremiah Profit,4,0.9705,SF,,2027
