drafttek_rank,drafttek_name,drafttek_school,drafttek_position,player_name,player_team,player_position,cfo_valuation,current_roster_status,current_draft_projection,is_override,class_year,match_confidence
2,Arvell Reese,Ohio State,EDGE,Arvell Reese,Ohio State,LB,1207500,departed_draft,1,False,4,1.0
3,Jeremiyah Love,Notre Dame,RB,Jeremiyah Love,Notre Dame,RB,994174,departed_draft,6,False,4,1.05
4,Sonny Styles,Ohio State,OLB,Sonny Styles,Ohio State,LB,957600,departed_draft,7,False,5,1.0
5,Caleb Downs,Ohio State,S,Caleb Downs,Ohio State,S,1690499,departed_draft,2,False,4,1.05
6,Francis Mauigoa,Miami (FL),OT,Francis Mauigoa,Miami,OL,450656,departed_draft,8,False,4,1.0
8,Mansoor Delane,LSU,CB,Mansoor Delane,LSU,CB,564300,departed_draft,11,False,5,1.05
9,Carnell Tate,Ohio State,WR,Carnell Tate,Ohio State,WR,1468320,departed_draft,9,False,4,1.05
10,Kenyon Sadiq,Oregon,TE,Kenyon Sadiq,Oregon,TE,796949,departed_draft,18,False,4,1.05
11,Rueben Bain Jr.,Miami (FL),EDGE,Rueben Bain Jr.,Miami,DL,1207500,departed_draft,5,False,4,1.0
12,Monroe Freeling,Georgia,OT,Monroe Freeling,Georgia,OL,983249,departed_draft,13,False,4,1.0
13,Makai Lemon,USC,WR,Makai Lemon,USC,WR,1468320,departed_draft,12,False,4,1.05
18,Dillon Thieneman,Oregon,S,Dillon Thieneman,Oregon,DB,869399,departed_draft,16,False,4,1.0
19,Jermod McCoy,Tennessee,CB,Jermod McCoy,Tennessee,DB,,departed_draft,999,False,3,1.0
20,Peter Woods,Clemson,DL3T,Peter Woods,Clemson,DT,827999,departed_draft,23,False,4,1.0
21,Ty Simpson,Alabama,QB,Ty Simpson,Alabama,QB,1836000,departed_draft,33,False,5,1.05
24,T.J. Parker,Clemson,EDGE,T.J. Parker,Clemson,DE,1034999,departed_draft,27,False,4,1.0
25,Kadyn Proctor,Alabama,OT,Kadyn Proctor,Alabama,OL,892687,departed_draft,21,False,4,1.0
26,Colton Hood,Tennessee,CB,Colton Hood,Tennessee,DB,,departed_draft,999,False,2,1.0
31,Denzel Boston,Washington,WR,Denzel Boston,Washington,WR,1209600,departed_draft,32,False,5,1.05
33,Akheem Mesidor,Miami (FL),EDGE,Akheem Mesidor,Miami,DL,648000,departed_draft,20,False,5,1.0
35,Avieon Terrell,Clemson,CBN,Avieon Terrell,Clemson,CB,905624,departed_draft,22,False,4,1.0
36,Brandon Cisse,South Carolina,CB,Brandon Cisse,South Carolina,DB,,departed_draft,999,False,3,1.0
37,Blake Miller,Clemson,OT,Blake Miller,Clemson,OL,675000,departed_draft,29,False,5,1.0
38,C.J. Allen,Georgia,OLB,CJ Allen,Georgia,LB,693000,departed_draft,30,False,3,1.0
39,Christen Miller,Georgia,DL1T,Christen Miller,Georgia,DL,540000,departed_draft,41,False,5,1.0
41,Kayden McDonald,Ohio State,DL1T,Kayden McDonald,Ohio State,DL,869399,departed_draft,31,False,4,1.0
43,Anthony Hill Jr.,Texas,ILB,Anthony Hill Jr.,Texas,LB,603750,departed_draft,42,False,4,1.0
44,Emmanuel Pregnon,Oregon,OG,Emmanuel Pregnon,Oregon,OL,140625,departed_draft,44,False,,1.0
46,R Mason Thomas,Oklahoma,EDGE,R Mason Thomas,Oklahoma,DL,,departed_draft,49,False,5,1.0
47,Keionte Scott,Miami (FL),CB,Keionte Scott,Miami,DB,630000,departed_draft,59,False,5,1.0
49,Caleb Banks,Florida,DL1T,Caleb Banks,Florida,DL,87750,departed_draft,34,False,5,1.0
50,Jadarian Price,Notre Dame,RB,Jadarian Price,Notre Dame,RB,204750,departed_draft,46,False,5,1.05
51,Germie Bernard,Alabama,WR,Germie Bernard,Alabama,WR,1008000,departed_draft,50,False,5,1.05
57,Chris Brazzell II,Tennessee,WR,Chris Brazzell II,Tennessee,WR,,departed_draft,999,False,3,1.05
60,Derrick Moore,Michigan,EDGE,Derrick Moore,Michigan,EDGE,1260000,departed_draft,64,False,5,1.05
62,Kamari Ramsey,USC,S,Kamari Ramsey,USC,S,221760,departed_draft,77,False,5,1.05
63,Zachariah Branch,Georgia,WR,Zachariah Branch,Georgia,WR,827999,departed_draft,56,False,4,1.05
65,Joshua Josephs,Tennessee,EDGE,Joshua Josephs,Tennessee,DL,,departed_draft,999,False,4,1.0
68,Davison Igbinosun,Ohio State,CB,Davison Igbinosun,Ohio State,CB,594000,departed_draft,78,False,5,1.05
69,Gracen Halton,Oklahoma,DL3T,Gracen Halton,Oklahoma,DL,570240,departed_draft,83,False,5,1.0
70,Max Klare,Ohio State,TE,Max Klare,Ohio State,TE,609840,departed_draft,72,False,5,1.05
71,Malik Muhammad,Texas,CB,Malik Muhammad,Texas,DB,546480,departed_draft,81,False,4,1.0
76,Antonio Williams,Clemson,WR,Antonio Williams,Clemson,WR,720000,departed_draft,62,False,5,1.05
78,Malachi Fields,Notre Dame,WR,Malachi Fields,Notre Dame,WR,633600,departed_draft,69,False,5,1.05
80,Tacario Davis,Washington,CB,Tacario Davis,Washington,CB,326700,departed_draft,81,False,5,1.05
