ea_name,ea_team,ea_position,ea_ovr,ea_school_year,matched_player_name,matched_player_id,match_confidence,cfo_position,cfo_valuation,depth_chart_rank,production_score
Rueben Bain Jr.,Miami,REDG,98,Junior,Rueben Bain Jr.,239b286a-2852-4ed6-9340-cb92c28b9804,1.0,DL,,,94.2
Jeremiah Smith,Ohio State,WR,98,Sophomore,Jeremiah Smith,9f94d1a8-5663-48f5-ab86-4ec6fd15a3ba,1.0,WR,4200000,1,94.6
Jeremiyah Love,Notre Dame,HB,97,Junior,Jeremiyah Love,67ea8764-7b0e-484d-b6e9-85a6820b3b70,1.0,RB,,,93.8
Caleb Downs,Ohio State,FS,97,Junior,Caleb Downs,432e48a6-6638-43d3-aa4c-e492c9ea9a1d,1.0,S,,,90.4
Leonard Moore,Notre Dame,CB,96,Sophomore,Leonard Moore,46edc8af-7712-479d-9ddf-a49ee14a71e5,1.0,CB,430458,1,60.9
Peter Woods,Clemson,DT,95,Junior,Peter Woods,bb380090-662a-4cb9-86aa-aee40877c7d3,1.0,DT,,,80.9
T.J. Parker,Clemson,LEDG,95,Junior,T.J. Parker,72868a6e-e2c6-4106-80d0-356ad3b64969,1.0,DE,,,88.6
Mansoor Delane,LSU,CB,95,Senior,Mansoor Delane,00c2f3b6-810f-4ed7-a46e-a4eefb6d9974,1.0,CB,,,63.3
Francis Mauigoa,Miami,RT,95,Junior,Francis Mauigoa,bbe43345-7b85-4016-b4c9-1bd612130ba7,1.0,OL,,,0.0
Mark Fletcher Jr.,Miami,HB,95,Junior,Mark Fletcher Jr.,5f9bbca3-8a68-4c9d-b8ea-f7828d69f4ec,1.0,RB,473927,1,83.9
Dillon Thieneman,Oregon,SS,95,Junior,Dillon Thieneman,15654835-3c8f-4b39-88a1-d44a77b64d74,1.0,DB,,,92.1
Anthony Hill Jr.,Texas,MIKE,95,Junior,Anthony Hill Jr.,93312fad-3cc4-4c37-8d83-bdcb1e5691b4,1.0,LB,,,94.5
Makai Lemon,USC,WR,95,Junior,Makai Lemon,a5b73b55-965f-4d53-bf50-9c777fcd7d75,1.0,WR,,,94.7
Christen Miller,Georgia,DT,94,Junior,Christen Miller,4522e103-82b8-4e28-9b2e-a50d6c8c1e87,1.0,DL,,,73.4
Arvell Reese,Ohio State,MIKE,94,Junior,Arvell Reese,8f5136db-1866-4955-8065-a8989626ac0e,1.0,LB,,,94.6
Carnell Tate,Ohio State,WR,94,Junior,Carnell Tate,52d4c71b-277d-467c-b898-4e3db55b4a9c,1.0,WR,,,94.1
Kenyon Sadiq,Oregon,TE,94,Junior,Kenyon Sadiq,e9856fbe-48a9-424c-9c72-f3f699f07d0e,1.0,TE,,,99.4
Colin Simmons,Texas,REDG,94,Sophomore,Colin Simmons,3e75aac7-4978-427d-914d-e84081523ed7,1.0,LB,1550000,2,93.0
Avieon Terrell,Clemson,CB,93,Junior,Avieon Terrell,3bab6c69-4632-46fe-a199-62c132ed0949,1.0,CB,,,93.7
