Player,Position,CFO Valuation,On3 Valuation,Override Value
Gunner Stockton,QB,2103838,1300000,
Nate Frazier,RB,509376,979000,
Earnest Greene III,OT,1009211,779000,
KJ Bolden,S,728254,758000,
Drew Bobo,IOL,466302,701000,
Raylen Wilson,LB,669740,556000,
Chris Cole,LB,542451,478000,
Elijah Griffin,DL,882617,415000,
Isaiah Gibson,EDGE,580393,391000,
Zayden Walker,LB,482895,386000,
Talyn Taylor,WR,455333,386000,
Chaz Chambliss,EDGE,,330000,
Justin Williams,LB,552312,287000,
Ellis Robinson IV,CB,614517,263000,
Joseph Jonah-Ajonye,DL,542618,232000,
Ryan Montgomery,QB,771697,224000,
Elyiss Williams,TE,478235,222000,
Juan Gaston,OT,539144,166000,
Jontae Gilbert,CB,374593,152000,
Jaylan Morgan,S,,150000,
CJ Wiley,WR,562359,149000,
Darren Ikinnagbon,EDGE,,147000,
Chase Linton,EDGE,,146000,
Thomas Blackshear,WR,360456,142000,
Anthony Kruah,LB,,141000,
Dontrell Glover,IOL,540267,136000,
Cortez Smith,IOL,431157,135000,
Dennis Uzochukwu,OT,429578,134000,
Rasean Dinkins,S,506866,130000,
Landon Roldan,WR,556875,120000,
Todd Robinson,S,278437,120000,
Tramel Walthour,DL,,113000,
Chauncey Bowens,RB,215947,101000,
Jaden Reddell,TE,,100000,
Amaris Williams,DE,787500,,
Ryan Puglisi,QB,771820,,
Peyton Woodring,PK,694600,,
Isiah Canion,WR,687500,,
Xzavier McLeod,DL,684989,,
Josh Horton,DT,675000,,
Zion Branch,S,634735,,
Quintavius Johnson,LB,629018,,
Jordan Hall,DL,595570,,
Khalil Barnes,S,582187,,
TyQuez Richardson,OT,560000,,
Michael Uini,OL,547595,,
Gentry Williams,DB,540000,,
London Humphreys,WR,536565,,
Demello Jones,DB,500000,,
Daniel Calhoun,OL,480937,,
Mason Short,OL,480937,,
Gabe Harris Jr.,LB,467295,,
Nnamdi Ogboko,DL,453750,,
Lawson Luckie,TE,446875,,
Sacovie White-Helton,WR,402187,,
Braylon Conley,CB,393750,,
Ja'Marley Riddle,S,393750,,
Jeremy Bell,WR,377202,,
Jahzare Jackson,OL,374062,,
Malachi Toliver,OL,336656,,
Kyron Jones,DB,315000,,
AJ Kruah,LB,292500,,
JJ Hanne,DL,268125,,
London Seymour,DT,259875,,
Terrell Foster,LB,234129,,
Ethan Barbour,TE,203686,,
Daniel Okonkwo,S,196543,,
Connor Ferguson,PK,110250,,
Dante Dowdell,RB,100000,,
Drew Miller,P,97761,,
Will Snellings,LS,87500,,
Henry Bates,PK,77000,,
Carter Horton,P,30624,,
Liam Badger,PK,,,
Patrick Hester,TE,,,
Marek Briley,WR,,,
Tate Nelms,OL,,,
Henry Delp,TE,,,
Gannon Hearst,RB,,,
Wade Penn,RB,,,
Tre Mittman,CB,,,
Eli Barrow,LB,,,
Duncan Carpenter,LB,,,
Andre Jocelyn,CB,,,
Micah Bell,RB,,,
Colter Ginn,QB,,,
Chris Corbo,TE,,,
Miles Thornton,WR,,,
Alex Bacchetta,P,,,
Jacob Hardie,RB,,,
Devin Willock,IOL,,,
Collin Drake,QB,,,
Nathan Priestley,WR,,,
Jackson Muschamp,QB,,,
Logan Johnson,WR,,,
Kelton Smith,IOL,,,
C.J. Washington,LB,,,
Sacovie White,WR,,,
John Staton,LB,,,
Kurt Knisely,RB,,,
Smoke Bouie,CB,,,
Len'Neth Whitehead,RB,,,
David Daniel-Sisavanh,S,,,
Jaydon Hood,LB,,,
Jayden-Jamal Hanne,DL,,,
Ali Hall,DB,,,
Keith Adams Jr.,RB,,,
Denton Shamburger,DB,,,
Lanear McCrary Jr.,RB,,,
Kavon Townsend,WR,,,
Walter Blanchard,WR,,,
Dwight Phillips Jr.,RB,,,
Maurice Hayes,CB,,,
Nasir Johnson,DL,,,
Cooper Johnson,TE,,,
Cole Jones,LB,,,
Luke Bennett,WR,,,
David Lalaian,TE,,,
Jacob Fleming,S,,,
Benjamin McElreath,WR,,,
Danny Curran,WR,,,
Colton Heinrich,TE,,,
Connor Jones,OL,,,
