Player,Team,On3 Valuation,CFO Valuation
Arch Manning,Texas,5400000,6000000
Jeremiah Smith,Ohio State,4200000,4200000
Sam Leavitt,LSU,4000000,3000000
Brendan Sorsby,Texas Tech,3100000,3200000
Bryce Underwood,Michigan,3100000,3000000
Dante Moore,Oregon,3000000,2967195
Cam Coleman,Texas,2900000,3000000
LaNorris Sellers,South Carolina,2700000,1649591
Drew Mestemaker,Oklahoma State,2500000,
Dylan Stewart,South Carolina,2500000,994423
Julian Sayin,Ohio State,2400000,2601734
Josh Hoover,Indiana,2300000,1050000
Darian Mensah,Miami,2200000,2200000
Jayden Maiava,USC,2200000,1390360
Mason Heintschel,Pittsburgh,2100000,946810
CJ Bailey,NC State,2100000,1468117
John Mateer,Oklahoma,2000000,1373997
Jackson Cantwell,Miami,1900000,2000000
David Stone,,1900000,1910000
Malik Washington,Maryland,1900000,1361994
Byrum Brown,Auburn,1900000,1155000
Jaron-Keawe Sagapolutele,Cal,1800000,1433143
Jordan Seaton,LSU,1700000,1452730
Jared Curtis,Vanderbilt,1700000,1700000
Ryan Coleman-Williams,Alabama,1600000,1650000
Trinidad Chambliss,Ole Miss,1600000,1328250
Colin Simmons,Texas,1500000,1550000
Evan Stewart,Oregon,1500000,1540000
Conner Weigman,Houston,1500000,2088834
Princewill Umanmielen,LSU,1400000,1400000
Rocco Becht,Penn State,1400000,1260000
Ryan Wingo,Texas,1400000,1500000
Noah Fifita,Arizona,1400000,1126898
Duce Robinson,Florida State,1300000,845944
Malachi Toney,Miami,1300000,1300000
Dylan Raiola,Oregon,1300000,1300000
Chaz Coleman,Tennessee,1300000,1300000
Damon Wilson II,Miami,1300000,1174850
Keelon Russell,Alabama,1300000,1400000
Howard Sampson,Texas Tech,1300000,1500000
Gunner Stockton,Georgia,1300000,1000000
Bear Alexander,Oregon,1200000,1200000
Carter Smith,,1200000,647257
Mark Bowman,USC,1200000,1300000
Cayden Green,Missouri,1200000,944349
