name,position,star_rating,composite_score,committed_school,state
Bryce Underwood,QB,5,0.9998,Michigan,MI
Na'eem Offord,CB,5,0.9936,,OH
EJ Crowell,RB,5,0.9928,Alabama,GA
Deuce Knight,QB,5,0.9862,,MS
Anthony Jones Jr.,EDGE,5,0.9845,Oregon,GA
Trey McNutt,S,5,0.9843,,OH
Caleb Cunningham,WR,5,0.9840,,FL
Tavien St. Clair,QB,5,0.9795,Ohio State,OH
Kade Phillips,CB,5,0.9795,,CA
DJ Pickett,CB,5,0.9793,LSU,FL
Dakorien Moore,WR,5,0.9780,Oregon,TX
Michael Fasusi,OT,5,0.9770,Oklahoma,TX
Quincy Porter,WR,5,0.9765,Ohio State,FL
Devin Sanchez,CB,5,0.9754,Ohio State,TX
Lance Jackson,EDGE,5,0.9749,Texas,TX
Marcus Williams,QB,5,0.9740,,CA
Javonte Harris,CB,5,0.9735,,FL
Husan Longstreet,QB,5,0.9730,USC,CA
Julian Lewis,QB,4,0.9830,,GA
Ryder Lyons,QB,4,0.9800,,CA
Danny Beale III,DT,4,0.9750,,FL
Malik Autry,DT,4,0.9745,,GA
Breeze Carter,EDGE,4,0.9720,Tennessee,GA
Max Riley,S,4,0.9710,Ohio State,OH
Polo Anderson,CB,4,0.9700,Clemson,GA
Trae Stevenson Jr.,LB,4,0.9690,Georgia,GA
Chuck Kennon,S,4,0.9680,Florida,FL
Chaz Smith,CB,4,0.9670,Notre Dame,OH
Jackson Ford,EDGE,4,0.9660,,TX
Jared Smith,EDGE,4,0.9650,,CA
Devon King,CB,4,0.9640,,FL
Gabe Hill,DT,4,0.9630,,GA
Kevin Brown,OT,4,0.9620,,TX
Matt Ponatoski,QB,4,0.9610,,PA
Jake Fette,QB,4,0.9600,,MO
Grant Lawless,QB,4,0.9590,,TX
Travis Burgess,QB,4,0.9580,,TX
Briggs Cherry,QB,4,0.9570,,GA
Tradon Bessinger,QB,4,0.9560,,SC
Drew Evers,IOL,4,0.9550,,OH
Bott Mulitalo,IOL,4,0.9540,,UT
Champ Smith,IOL,4,0.9530,,TX
Malachi Joyner,IOL,4,0.9520,,FL
Johnnie Jones,OT,4,0.9510,,LA
Justin Morales,OT,4,0.9500,,TX
Claude Mpouma,OT,4,0.9490,,TX
Carson Nielsen,OT,4,0.9480,,UT
Daniel McMorris,OT,4,0.9470,,GA
