Player,Position,CFO Valuation,On3 Valuation,Override Value
Arch Manning,QB,"$6,800,000 ","$5,400,000 ","$6,000,000 "
Cam Coleman,WR,"$2,900,000 ","$2,900,000 ","$3,000,000 "
Colin Simmons,EDGE,"$1,550,000 ","$1,500,000 ",
Ryan Wingo,WR,"$897,685 ","$1,400,000 ","$1,500,000 "
Trevor Goosby,OT,"$854,478 ","$1,000,000 ",
Justus Terry,DL,"$489,718 ","$825,000 ","$850,000 "
Hero Kanu,DL,"$609,498 ","$655,000 ",
Rasheem Biles,LB,"$422,500 ","$595,000 ","$600,000 "
Melvin Siani,OT,"$617,500 ","$565,000 ",
Hollywood Smothers,RB,"$520,000 ","$550,000 ",
Raleek Brown,RB,"$182,000 ","$535,000 ","$550,000 "
Jonah Williams,S,"$504,256 ","$442,000 ",
Brandon Baker,OT,"$828,580 ","$440,000 ","$500,000 "
Kaliq Lockett,WR,"$643,500 ","$425,000 ","$500,000 "
Kade Phillips,CB,"$471,769 ","$422,000 ",
Lance Jackson,EDGE,"$429,464 ","$328,000 ",
Jelani McDonald,S,"$724,759 ","$304,000 ",
Morice Blackwell,LB,,"$274,000 ",
Gavin Holmes,CB,,"$266,000 ",
K.J. Lacey,QB,,"$236,000 ","$300,000 "
Jett Bush,LB,,"$232,000 ",
Jahleel Billingsley,TE,,"$206,000 ",
Graceson Littleton,CB,"$568,558 ","$179,000 ",
Michael Terry III,WR,"$423,403 ","$177,000 ",
James Simon,RB,"$181,937 ","$167,000 ",
Xavier Filsaime,S,"$536,785 ","$166,000 ",
Zelus Hicks,S,"$479,884 ","$165,000 ",
Jordon Johnson-Rubell,S,"$538,570 ","$164,000 ",
Daylan McCutcheon,WR,"$651,969 ","$162,000 ",
Wardell Mack,CB,"$312,369 ","$161,000 ",
Zina Umeozulu,EDGE,"$386,913 ","$159,000 ",
Ty'Anthony Smith,LB,"$655,229 ","$157,000 ",
Smith Orogbo,EDGE,"$381,151 ","$156,000 ",
Nick Townsend,TE,"$380,612 ","$155,000 ",
Myron Charles,DL,"$261,618 ","$149,000 ",
Josiah Sharma,DL,"$258,705 ","$148,000 ",
Warren Roberson,CB,"$522,703 ","$144,000 ",
Colton Vasek,EDGE,"$447,700 ","$111,000 ",
Emmett Mosley V,WR,"$865,219 ",,
Sterling Berkhalter,WR,"$720,376 ",,
Jaydon Chatman,OL,"$713,665 ",,
Connor Robertson,OL,"$687,232 ",,
Alex January,DL,"$686,400 ",,
Karle Lacey Jr.,QB,"$631,800 ",,
Jonte Newman,OL,"$622,537 ",,
Dylan Sikorski,IOL,"$617,500 ",,
Laurance Seymore,IOL,"$617,500 ",,
Maraad Watson,DL,"$572,000 ",,
Devin Coleman,OL,"$555,868 ",,
Jordan Coleman,OL,"$555,750 ",,
Bo Mascoe,DB,"$520,000 ",,
Ian Geffrard,DL,"$520,000 ",,
Derek Williams Jr.,DB,"$520,000 ",,
Brad Spence,LB,"$468,993 ",,
Michael Masunas,TE,"$422,500 ",,
Justin Cryer,LB,"$422,500 ",,
Markus Boswell,LB,"$422,500 ",,
Jackson Christian,OL,"$402,331 ",,
Andre Cojoe,OL,"$401,375 ",,
Ryan Niblett,DB,"$394,304 ",,
MJ Morris,QB,"$312,000 ",,
Emaree Winston,TE,"$160,013 ",,
Tate Haver,S,"$141,570 ",,
Gianni Spetic,K,"$130,000 ",,
Trey DuBuc,LS,"$130,000 ",,
Mac Chiumento,P,"$130,000 ",,
Spencer Barnett,PK,"$93,600 ",,
Gehrig Heil,P,"$23,400 ",,
Adam Trick,EDGE,,,
Chandler Strong,IOL,,,
Drew Cunningham,LB,,,
Quinn Merritt,WR,,,
Ryan Henderson,EDGE,,,
Ty Boatright,WR,,,
Bryce Chambers,WR,,,
Carson Berger,RB,,,
Luke Dunham,QB,,,
Rett Andersen,WR,,,
Ridge Barker,TE,,,
Jackson Duffey,DB,,,
Eric Garza,LB,,,
Robert Sweeney,OL,,,
Brady Sarkisian,LB,,,
McCoy Bruce,DB,,,
CJ Coombes,S,,,
Jojo Johnson,DL,,,
Isaiah Coleman,DL,,,
Mason Shipley,PK,,,
Trovon Baugh,OL,,,
Brooks Kieschnick Jr.,OL,,,
Davin Martin,CB,,,
Trey White,EDGE,,,
Jonathan Cunningham,LB,,,
Parker Alford,WR,,,
Zach Edwards,LS,,,
Charles Wright,QB,,,
Drew Clemens,TE,,,
Bryce Butler,DL,,,
Rickey Gibson III,DB,,,
Paxton Anderson,WR,,,
Marques Caldwell,CB,,,
Gus Asel,WR,,,
Derrick Harris Jr.,EDGE,,,
Max Merril,OT,,,
Derrian Brown,RB,,,
Ziky Umeozulu,DB,,,
Diamonte Tucker-Dorsey,LB,,,
