Player,Position,CFO Valuation,On3 Valuation,Override Value
Brendan Sorsby,QB,2052000,3100000,
Howard Sampson,OT,358716,1300000,
Brice Pollock,CB,297352,850000,
Sheridan Wilson,IOL,350328,728000,
Terrance Carter Jr.,TE,237737,692000,
Micah Hudson,WR,709573,590000,
Austin Romaine,LB,426074,558000,
Cameron Dickey,RB,267173,541000,
Jacob Ponton,OT,407562,299000,
Hunter Zambrano,OT,365417,241000,
Lloyd Jones III,QB,315703,130000,
A.J. Holmes Jr.,DL,438900,,
Brenden Jordan,DB,424164,,
Coy Eakin,WR,407740,,
Bryson Jones,WR,378123,,
Tristian Gentry,WR,376200,,
Ellis Davis,OL,368516,,
Daniel Sill,OL,361000,,
Ben Roberts,LB,339625,,
Peyton Morgan,DB,311077,,
Tarrion Grant,DB,307555,,
Cash Cleveland,OL,300937,,
Amier Boyd,DB,292600,,
Stone Harrington,PK,292600,,
J'Koby Williams,RB,270682,,
Leyton Stone,WR,264623,,
Jason Llewellyn,TE,262917,,
D'Anthis Upshaw Jr.,OL,255858,,
Holton Hendrix,OL,255858,,
Malik Esquerra,DB,241612,,
Marcus Ramon-Edwards,DB,239400,,
Connor Carty,OL,228602,,
Patrick McMath,OL,227622,,
Elias Gillen,OL,227430,,
Oliver Miles III,DB,221323,,
Ashton Hampton,DB,217726,,
John Curry,LB,216125,,
Miquel Dingle Jr.,DB,212800,,
Keyshawn Williams,DL,197505,,
Ansel Nedore,LB,196262,,
Wesley Smith,LB,190190,,
Brock Golwas,LB,175061,,
Quinten Joyner,RB,174175,,
Charles Anderson Jr.,LB,157309,,
Rylan Vagana,LS,59850,,
Adam Hill,RB,47880,,
Ian Hershey,P,25602,,
Eddy Smith,LB,,,
Terrell Tilmon,LB,,,
Michael Henderson III,DB,,,
Chief Collins,DB,,,
Robert Wooten,EDGE,,,
Jacob Rodriguez,LB,,,
Baylor Cupp,TE,,,
Adrian Frye,CB,,,
Weston Wright,OT,,,
Ty Kana,LB,,,
Colin Schooler,LB,,,
Deandrae McCray,WR,,,
SaRodorick Thompson,RB,,,
Malik Dunlap,CB,,,
Tyrique Matthews,LB,,,
Henry Teeter,TE,,,
Will Burns,QB,,,
Jaylon Hutchings,DL,,,
Dimitri Moore,LB,,,
Tony Bradford,DL,,,
Nehemiah Martinez,WR,,,
Austin McNamara,P,,,
Cameron Cantrell,WR,,,
Patrick Curley,LB,,,
Seth Martin,IOL,,,
Kaden Weatherby,OT,,,
Aiden Meeks,WR,,,
Krishon Merriweather,LB,,,
Kosi Eldridge,LB,,,
Damarcus Fields,CB,,,
Marquis Waters,S,,,
Chadarius Townsend,RB,,,
Labyreous Moore,LB,,,
Cam'Ron Valdez,RB,,,
Jalon Peoples,CB,,,
Jake Strong,QB,,,
Mason Tharp,TE,,,
Drew Hocutt,WR,,,
Brady Boyd,WR,,,
Isaiah Crawford,EDGE,,,
Anthony Holmes,DL,,,
Erik Gray,IOL,,,
Riko Jeffers,LB,,,
Imari Jones,CB,,,
Jackson Knotts,LS,,,
Rusty Staats,IOL,,,
Javeon Wilcox,S,,,
Behren Morton,QB,,,
T.J. West,WR,,,
Sean Robinson,TE,,,
Will Jados,OL,,,
Reggie Virgil,WR,,,
Price Morgan,WR,,,
Luke Dillingham,DB,,,
Romello Height,EDGE,,,
E'Maurion Banks,DL,,,
Davion Carter,G,,,
Michael Dever,WR,,,
Preztynn Harrison,WR,,,
Mitch Griffis,QB,,,
Jayden Cofield,DL,,,
Garin Maley,OL,,,
Jack Esparza,TE,,,
Dontae Balfour,DB,,,
Ren Brown,OL,,,
Will Hammond,QB,,,
Charles Esters III,LB,,,
Trent Low,LB,,,
Bryce Ramirez,LB,,,
Cole Wisniewski,S,,,
Xavier White,WR,,,
A.J. McCarty,DB,,,
Danilo Guberinich,OL,,,
Chris Lemons,LB,,,
David Bailey,EDGE,,,
Vinny Sciury,OL,,,
Deante Lindsay,DB,,,
Kai Powell,WR,,,
Skyler Gill-Howard,DT,,,
Lee Hunter,DT,,,
Caleb Douglas,WR,,,
Jackson Hildebrand,OL,,,
Curtis Murillo,WR,,,
Haydon Wiginton,WR,,,
Quintaelyn Joyner,DB,,,
Gage Elder,LB,,,
Tanner Allen,DL,,,
Jurrien Loftin,OL,,,
Loic Tshibangu,RB,,,
Dylan Spencer,LB,,,
Dylan Singleton,DL,,,
Macho Stevenson,DB,,,
Jack Burgess,P,,,
Derrick Lewis,LB,,,
Braylan Mcdonald,DB,,,
Roy Alexander,WR,,,
Johncarlos Miller II,TE,,,
Holden Phillips,QB,,,
Mikal Harrison-Pilot,DB,,,
