Player,Position,CFO Valuation,On3 Valuation,Is Override,Override Value,Override Source,Override URL
Arch Manning,QB,6800000,5400000,YES,,,
Cam Coleman,WR,2900000,2900000,YES,,,
Colin Simmons,LB,1550000,1500000,YES,,,
Ryan Wingo,WR,754685,1400000,,,,
Trevor Goosby,OL,854478,1000000,,,,
Justus Terry,DL,541718,825000,,,,
Hero Kanu,DL,531498,655000,,,,
Rasheem Biles,LB,422500,595000,,,,
Melvin Siani,OL,617500,565000,,,,
Hollywood Smothers,RB,520000,550000,,,,
Raleek Brown,RB,182000,535000,,,,
Jonah Williams,,,442000,,,,
Brandon Baker,OL,828580,440000,,,,
Kaliq Lockett,WR,715000,425000,,,,
Kade Phillips,DB,523769,422000,,,,
Lance Jackson,LB,429464,328000,,,,
Jelani McDonald,DB,724759,304000,,,,
CJ Baxter,RB,,275000,,,,
Morice Blackwell,LB,,274000,,,,
Gavin Holmes,CB,,266000,,,,
K.J. Lacey,QB,,236000,,,,
Jett Bush,LB,,232000,,,,
Jaime Ffrench Jr.,WR,,214000,,,,
Jahleel Billingsley,TE,,206000,,,,
Aaron Butler,WR,,180000,,,,
Graceson Littleton,DB,526958,179000,,,,
Michael Terry III,WR,720128,177000,,,,
Jerrick Gibson,RB,,172000,,,,
Kobe Black,DB,591505,170000,,,,
James Simon,RB,181937,167000,,,,
Trey Owens,QB,,167000,,,,
Xavier Filsaime,DB,536785,166000,,,,
Zelus Hicks,DB,531884,165000,,,,
Jordon Johnson-Rubell,DB,538570,164000,,,,
Daylan McCutcheon,WR,723469,162000,,,,
Parker Livingstone,WR,,161000,,,,
Wardell Mack,DB,528169,161000,,,,
Zina Umeozulu,LB,429163,159000,,,,
Jordan Washington,TE,,159000,,,,
Christian Clark,RB,,158000,,,,
Ty'Anthony Smith,LB,655229,157000,,,,
Smith Orogbo,LB,423401,156000,,,,
Nick Townsend,TE,422862,155000,,,,
Daniel Cruz,OL,,150000,,,,
Myron Charles,DL,290218,149000,,,,
Josiah Sharma,DL,287305,148000,,,,
Warren Roberson,DB,522703,144000,,,,
Colton Vasek,LB,447700,111000,,,,
DeAndre Moore Jr.,,,110000,,,,
